ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Bike Buyer
11138,Married,Female,40000,0,High School,Skilled Manual,No,2,5,North America,28,No
18220,Married,Male,110000,5,Partial High School,Professional,Yes,4,,Pacific,35,Yes
24503,Married,Female,40000,0,Bachelors,Management,Yes,2,2,Pacific,65,Yes
11139,Single,Female,30000,0,Partial College,Clerical,No,2,3,Pacific,68,No
11129,Single,Female,40000,0,High School,Skilled Manual,Yes,1,4,North America,31,Yes
13726,Married,Male,40000,0,Partial College,Clerical,Yes,1,1,North America,52,Yes
11140,Single,Male,30000,0,Partial High School,Clerical,No,2,5,North America,29,No
11141,Married,Female,40000,0,High School,Skilled Manual,No,2,6,North America,29,No
29350,Single,Female,50000,3,Bachelors,Skilled Manual,Yes,2,7,North America,41,Yes
23339,Single,Female,60000,0,Partial College,Skilled Manual,Yes,2,8,North America,33,Yes
11142,Single,Male,40000,0,High School,Skilled Manual,No,2,1,North America,29,No
18859,Married,Female,60000,0,Partial High School,Skilled Manual,Yes,2,2,North America,52,Yes
11143,Married,Male,40000,0,High School,Skilled Manual,Yes,2,3,North America,29,No
11144,Single,Male,40000,0,High School,Skilled Manual,No,2,6,North America,27,Yes
11146,Single,Female,40000,0,Bachelors,Management,Yes,2,4,Pacific,67,No
15865,Single,Female,40000,4,High School,Skilled Manual,Yes,3,2,North America,35,Yes
11148,Married,Male,40000,0,Bachelors,Management,Yes,2,3,Pacific,65,No
11149,Married,Male,40000,0,Bachelors,Management,Yes,2,7,Pacific,65,No
11150,Single,,40000,0,Bachelors,Management,Yes,2,8,Pacific,65,No
24752,Single,Male,30000,0,High School,Skilled Manual,Yes,2,9,North America,48,Yes
11153,Married,Female,40000,0,High School,Skilled Manual,Yes,2,2,North America,30,No
11157,Married,Female,40000,0,High School,Skilled Manual,Yes,2,3,North America,31,No
11159,,Female,40000,0,High School,Skilled Manual,No,2,5,North America,31,No
15920,Single,Male,100000,3,Partial College,Professional,Yes,4,6,Europe,49,Yes
27792,Single,Female,20000,,High School,Manual,Yes,1,7,Europe,43,Yes
13895,Single,Female,70000,0,Graduate Degree,Professional,Yes,0,1,North America,36,Yes
20859,Single,Male,30000,0,Bachelors,Clerical,No,0,,Europe,37,Yes
23356,Single,Female,60000,0,Partial College,Professional,No,2,4,North America,32,Yes
11161,Single,Female,40000,0,Partial College,Skilled Manual,No,1,1,North America,32,No
23763,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,5,Europe,34,Yes
22193,Single,Female,80000,0,High School,Skilled Manual,Yes,2,6,Pacific,50,Yes
14438,Single,Female,100000,1,Bachelors,Management,Yes,4,7,North America,41,Yes
11167,Single,Female,80000,0,Bachelors,Management,No,1,8,North America,34,Yes
22648,Single,Female,40000,,Bachelors,Clerical,No,0,1,Europe,39,Yes
20199,Married,,70000,0,Graduate Degree,Professional,Yes,1,2,North America,47,Yes
27179,Single,Male,30000,0,High School,Manual,No,1,3,Europe,35,Yes
25865,Married,Male,40000,0,High School,Professional,Yes,3,6,North America,60,Yes
19652,Single,Male,40000,0,Bachelors,Management,Yes,2,4,Pacific,63,Yes
11216,Single,Female,60000,1,Partial College,Professional,Yes,2,2,North America,56,Yes
21985,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,3,Pacific,46,Yes
23269,Married,Female,40000,0,Partial College,Clerical,Yes,1,7,North America,50,Yes
11163,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,8,North America,31,No
11164,Single,Male,40000,0,Partial College,Skilled Manual,No,1,9,North America,32,No
21479,Married,Male,60000,1,Bachelors,Management,Yes,0,2,North America,58,Yes
29120,Single,Female,100000,0,Bachelors,Management,Yes,4,3,Pacific,48,No
11166,Single,,70000,0,Partial College,Skilled Manual,No,2,5,North America,34,No
17041,Married,Male,60000,0,Bachelors,Professional,Yes,1,6,North America,48,Yes
14602,Married,Female,80000,0,Graduate Degree,Professional,Yes,0,7,North America,37,Yes
11169,Married,Male,90000,4,Bachelors,Management,Yes,1,1,North America,38,No
11170,Married,Female,90000,4,Bachelors,Management,Yes,1,2,North America,38,No
20221,Married,Female,120000,0,Graduate Degree,Management,No,0,1,Pacific,37,Yes
11172,Married,Female,100000,0,Bachelors,Management,Yes,2,1,North America,38,No
11173,,Female,110000,0,Graduate Degree,Management,No,4,,North America,39,No
25502,Married,Female,40000,0,Bachelors,Skilled Manual,Yes,0,5,Europe,43,Yes
27517,Married,Male,100000,1,Bachelors,Management,Yes,3,1,Pacific,47,Yes
15055,Married,Male,20000,0,Partial College,Manual,Yes,1,1,Europe,47,Yes
11243,Married,Female,150000,3,Partial College,Professional,Yes,3,1,Europe,49,Yes
15417,Single,Male,70000,0,Graduate Degree,Management,Yes,2,1,North America,65,Yes
29476,Married,Female,20000,0,Partial College,Manual,No,1,10,Europe,47,Yes
19162,Married,Male,70000,2,Bachelors,Professional,Yes,2,1,North America,43,Yes
27143,Single,Male,40000,0,Graduate Degree,Clerical,Yes,0,2,Europe,38,Yes
22061,Single,Female,60000,0,Partial College,Skilled Manual,No,2,11,North America,28,Yes
11250,Married,Female,170000,4,High School,Professional,Yes,2,5,Europe,51,Yes
25725,Married,Male,30000,0,Graduate Degree,Clerical,Yes,0,6,Europe,45,Yes
16495,Single,,80000,0,Partial College,Skilled Manual,No,2,7,Pacific,52,Yes
18869,Married,Female,40000,,Partial College,Professional,No,2,1,North America,54,Yes
11174,Married,Male,110000,1,Graduate Degree,Management,Yes,0,2,North America,39,No
11176,Married,Male,90000,4,Bachelors,Management,Yes,1,4,North America,38,No
11177,Married,Male,110000,4,Graduate Degree,Management,Yes,2,1,North America,64,No
11178,Married,Male,100000,3,Graduate Degree,Management,Yes,3,5,North America,63,No
25546,Single,Female,10000,0,Partial College,Manual,Yes,1,6,Europe,52,Yes
11179,Married,Female,120000,4,Graduate Degree,Management,Yes,3,7,North America,63,No
11180,Married,Female,160000,3,Bachelors,Management,Yes,4,8,North America,63,No
26949,Single,Female,20000,0,Partial College,Manual,No,1,1,Europe,36,Yes
15664,Single,Female,30000,0,Bachelors,Clerical,Yes,0,2,Europe,47,Yes
11181,,Male,170000,3,Graduate Degree,Management,Yes,2,3,North America,63,No
18954,Single,Male,120000,2,Bachelors,Management,No,4,6,North America,41,Yes
11182,Single,Female,70000,0,Bachelors,Management,Yes,2,4,North America,62,No
11183,Single,Female,70000,0,Bachelors,Management,Yes,2,2,North America,62,No
18495,Single,,120000,1,Bachelors,Management,Yes,4,3,Pacific,48,Yes
11184,Single,Female,70000,0,Bachelors,Management,Yes,2,,North America,61,No
26824,Single,Female,10000,4,Partial High School,Manual,Yes,1,8,Europe,40,Yes
18248,Married,Male,110000,0,Graduate Degree,Management,Yes,0,9,Pacific,37,Yes
28181,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,2,North America,46,Yes
11185,Single,Female,70000,0,Bachelors,Management,Yes,2,3,North America,62,No
11186,Single,Female,70000,0,Bachelors,Management,Yes,2,3,North America,62,No
11187,Married,Female,60000,0,Graduate Degree,Management,Yes,2,6,North America,62,No
23444,Single,Male,30000,0,Partial College,Clerical,No,1,4,Europe,33,Yes
28877,Single,Male,150000,3,High School,Professional,No,4,2,Europe,48,No
14647,,Male,60000,0,Graduate Degree,Professional,No,1,3,North America,39,Yes
11190,Married,Male,70000,0,Bachelors,Management,Yes,2,7,North America,62,No
20706,Single,Female,70000,0,Bachelors,Professional,Yes,1,8,North America,38,Yes
11192,Married,Male,60000,0,Bachelors,Management,Yes,2,9,North America,61,No
11193,Married,Male,60000,0,Bachelors,Management,Yes,2,2,North America,61,No
20194,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,3,North America,46,Yes
28977,Single,Male,60000,0,Bachelors,Management,Yes,2,5,North America,66,No
17498,Single,Male,20000,0,Partial College,Skilled Manual,No,2,,North America,26,Yes
11195,Married,Female,60000,,Bachelors,Management,Yes,3,7,North America,60,No
11196,Married,Male,60000,0,Bachelors,Management,Yes,3,1,North America,60,No
11281,Single,Female,110000,2,Bachelors,Management,Yes,4,2,North America,43,Yes
18353,Married,Male,80000,0,Bachelors,Management,Yes,1,1,North America,34,Yes
11197,Married,Female,70000,1,Bachelors,Management,No,1,1,North America,60,No
15660,Married,Female,20000,0,Partial College,Manual,Yes,1,2,Europe,47,Yes
26890,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,5,Europe,31,Yes
15043,Single,Male,20000,0,Partial College,Manual,Yes,0,1,Pacific,29,Yes
11198,Single,Female,70000,1,Bachelors,Management,Yes,1,1,North America,59,No
11199,Married,Female,70000,1,Bachelors,Management,Yes,1,1,North America,60,No
25443,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,1,Europe,38,Yes
11292,Single,Male,150000,2,Partial College,Professional,No,3,10,North America,45,Yes
11200,Married,Male,70000,1,Bachelors,Management,Yes,1,,North America,58,No
27264,Single,Male,60000,2,Bachelors,Skilled Manual,Yes,0,5,North America,37,Yes
20910,Married,Female,40000,0,Bachelors,Professional,Yes,0,6,Europe,40,Yes
20817,,Male,10000,0,Partial College,Manual,No,1,7,Pacific,28,Yes
11201,Married,Female,70000,1,Bachelors,Management,Yes,1,1,North America,59,No
11202,Married,Female,80000,0,Bachelors,Management,No,2,2,North America,59,No
11298,Married,Male,70000,0,Graduate Degree,Management,Yes,2,4,North America,71,Yes
11203,Married,Male,40000,1,High School,Professional,Yes,2,1,North America,58,No
20214,Single,Female,60000,2,Bachelors,Professional,No,1,5,Pacific,38,Yes
11302,Single,Male,90000,3,High School,Professional,No,3,6,North America,45,Yes
11204,Married,Female,40000,1,High School,Professional,Yes,2,7,North America,58,No
17815,Single,Male,30000,0,Partial College,Clerical,Yes,1,5,Europe,44,Yes
15885,Single,Male,60000,0,Bachelors,Management,Yes,3,1,North America,60,Yes
11205,Married,Female,40000,1,High School,Professional,Yes,2,1,North America,58,No
11206,Married,,60000,1,Partial College,Professional,Yes,1,1,North America,58,No
11207,Single,Female,60000,1,Partial College,Professional,Yes,1,1,North America,58,No
22543,Single,Male,40000,0,Graduate Degree,Skilled Manual,Yes,0,10,North America,33,Yes
11208,Married,Female,60000,,Bachelors,Management,Yes,0,11,North America,58,No
11209,Married,Female,60000,1,Bachelors,Management,Yes,0,5,North America,58,No
16811,Married,Male,60000,1,Partial College,Professional,Yes,1,6,North America,55,Yes
19213,Married,Female,40000,0,Partial College,Clerical,Yes,1,7,North America,51,Yes
17393,Single,Male,110000,2,Bachelors,Management,Yes,4,1,North America,42,Yes
24580,Married,Male,110000,5,Partial High School,Professional,Yes,3,2,Europe,59,Yes
21679,Single,Male,30000,0,High School,Manual,No,1,4,Europe,35,Yes
11210,Married,Male,70000,1,Partial College,Professional,Yes,2,1,North America,58,No
20188,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,5,North America,45,Yes
11327,Married,Male,90000,0,Bachelors,Management,Yes,2,1,North America,66,Yes
28018,Single,Female,30000,1,Partial High School,Skilled Manual,Yes,3,1,North America,61,Yes
25735,Single,Female,30000,0,Graduate Degree,Clerical,Yes,0,1,Europe,46,Yes
11211,Married,Female,40000,1,High School,Professional,Yes,2,1,North America,57,No
11212,Married,Female,40000,1,High School,Professional,Yes,2,10,North America,57,No
11213,Single,Female,60000,1,Partial College,Professional,Yes,2,11,North America,57,No
11214,Single,Male,60000,1,Partial College,Professional,Yes,2,5,North America,57,No
11215,Married,Female,40000,1,Partial High School,Skilled Manual,Yes,2,6,North America,56,No
17242,Married,Male,110000,5,Partial College,Management,Yes,3,7,Pacific,33,Yes
28477,Married,Male,30000,0,Bachelors,Clerical,Yes,0,1,Europe,65,Yes
11218,Single,Female,60000,1,Partial College,Professional,No,2,2,North America,56,No
11219,Married,Male,60000,1,High School,Professional,Yes,2,4,North America,55,No
11220,Married,Female,60000,1,Partial College,Professional,Yes,1,1,North America,56,No
22933,Single,Female,60000,0,Bachelors,Professional,No,1,1,Pacific,44,Yes
11221,Married,Male,70000,2,Partial College,Professional,Yes,1,5,North America,56,No
16629,Single,Female,110000,5,High School,Management,Yes,4,1,Pacific,34,Yes
22689,Single,Male,30000,0,Partial College,Clerical,No,1,1,Europe,44,Yes
22954,Single,Male,70000,,Bachelors,Professional,No,2,1,Pacific,43,Yes
19775,Single,Female,40000,0,High School,Skilled Manual,No,2,1,North America,31,Yes
11222,Married,Female,80000,1,Bachelors,Management,Yes,1,,North America,56,No
11223,Single,Female,70000,1,High School,Professional,Yes,2,11,North America,55,No
11225,Married,Female,60000,1,Partial College,Professional,Yes,1,5,North America,55,No
11226,Married,Female,60000,1,Partial College,Professional,Yes,1,6,North America,55,No
20751,Married,Male,30000,0,High School,Clerical,No,2,7,North America,51,Yes
16955,Married,Male,50000,2,Bachelors,Skilled Manual,Yes,0,1,North America,37,Yes
28173,Single,Male,40000,2,High School,Skilled Manual,Yes,2,2,North America,46,Yes
13525,Married,Female,20000,0,Bachelors,Clerical,Yes,0,1,Pacific,28,Yes
11228,Married,Female,60000,1,Partial College,Professional,Yes,2,2,North America,55,No
22412,Married,Male,20000,0,Bachelors,Clerical,No,0,4,Pacific,29,Yes
11345,Single,Female,10000,0,Partial College,Manual,Yes,0,1,Europe,49,Yes
11229,Single,Male,70000,2,Partial College,Professional,Yes,1,5,North America,54,No
26748,Single,Female,100000,0,Graduate Degree,Management,No,1,6,Pacific,40,Yes
11230,Married,Female,70000,2,Partial College,Professional,No,2,7,North America,55,No
11231,Married,Male,60000,1,High School,Professional,Yes,2,8,North America,53,No
11232,Married,Female,60000,1,High School,Professional,No,2,1,North America,54,No
13397,Married,Male,60000,1,Partial College,Professional,Yes,1,2,North America,55,Yes
25607,Single,Female,20000,0,Partial College,Manual,No,1,3,Europe,53,Yes
11233,Married,,70000,2,Partial College,Professional,Yes,2,,North America,54,No
23575,Married,Male,40000,0,Bachelors,Management,No,2,4,Pacific,62,Yes
11234,Single,Female,70000,2,Partial College,Professional,Yes,2,2,North America,53,No
11235,Married,Male,70000,2,Partial College,Professional,Yes,2,3,North America,54,No
14017,Single,Female,60000,0,Partial College,Skilled Manual,No,2,7,North America,25,Yes
11236,Single,Male,70000,2,Partial College,Professional,Yes,2,8,North America,54,No
17595,Married,Male,50000,2,Bachelors,Skilled Manual,Yes,1,9,North America,39,Yes
11359,Single,Male,10000,0,Partial College,Manual,No,1,1,Pacific,28,Yes
17134,Single,Female,70000,,Bachelors,Management,No,4,1,North America,59,Yes
11248,Married,Male,110000,4,Partial College,Professional,Yes,4,1,Europe,51,No
11253,Married,Male,60000,0,Graduate Degree,Management,Yes,2,1,North America,73,No
20846,Married,Male,30000,0,Bachelors,Clerical,Yes,0,10,Europe,47,Yes
28176,Single,Female,60000,0,Partial College,Skilled Manual,No,1,11,North America,39,Yes
22784,Married,Male,70000,1,Partial High School,Skilled Manual,Yes,2,5,North America,54,Yes
29196,Married,Male,90000,0,Bachelors,Professional,Yes,0,6,Pacific,40,Yes
11254,Married,Male,70000,0,Graduate Degree,Management,Yes,2,,North America,73,No
11255,Married,Male,70000,0,Graduate Degree,Management,Yes,2,1,North America,73,No
21400,,Male,60000,0,Partial College,Skilled Manual,No,2,2,North America,32,Yes
25396,Single,Male,70000,0,Graduate Degree,Professional,No,0,4,North America,35,Yes
21986,Single,Female,60000,0,Partial College,Skilled Manual,Yes,1,1,Pacific,46,Yes
29146,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,5,North America,44,Yes
20054,Single,Male,40000,2,Partial College,Clerical,Yes,0,1,Europe,33,Yes
11256,Married,Female,70000,0,Graduate Degree,Management,Yes,2,1,North America,73,No
11258,Married,Male,120000,2,Graduate Degree,Management,Yes,4,1,North America,73,No
11260,Married,Female,110000,2,Bachelors,Management,Yes,3,1,North America,41,No
11262,Married,Female,80000,3,Bachelors,Management,Yes,0,10,North America,42,No
11268,Married,Female,130000,2,Graduate Degree,Management,Yes,2,11,North America,42,No
11269,Married,Male,130000,2,Graduate Degree,Management,Yes,2,,North America,42,No
24690,Single,Male,20000,0,Partial High School,Manual,Yes,2,1,Europe,26,Yes
16569,Single,Female,10000,0,Partial College,Manual,Yes,2,1,Europe,54,Yes
28405,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,13,Europe,42,Yes
23217,Single,Female,60000,2,Graduate Degree,Professional,Yes,0,1,North America,43,Yes
11273,Married,Male,90000,1,Partial College,Professional,Yes,0,5,North America,50,No
11276,Married,Female,80000,3,Partial College,Professional,Yes,2,5,North America,43,No
11277,Married,,80000,3,Partial College,Professional,Yes,2,2,North America,43,No
11279,Married,Female,90000,0,Partial College,Professional,Yes,1,3,North America,43,No
14929,Married,Male,30000,1,Bachelors,Clerical,Yes,0,4,Europe,38,Yes
11280,Married,Male,90000,0,Partial College,Professional,Yes,1,1,North America,43,No
20145,Married,Male,10000,0,Partial College,Manual,Yes,1,5,Europe,52,Yes
11283,Married,Male,110000,3,Bachelors,Management,Yes,2,6,North America,44,No
17042,Married,Male,60000,0,Bachelors,Professional,Yes,1,7,North America,48,Yes
11284,Married,Female,110000,3,Bachelors,Management,Yes,2,8,North America,44,No
28318,,Female,60000,0,Bachelors,Professional,No,1,1,Pacific,45,Yes
24110,Single,Female,20000,4,High School,Manual,Yes,2,2,Europe,27,Yes
11285,Married,Male,120000,3,Partial College,Professional,No,4,3,North America,44,No
11287,Married,Male,70000,4,Partial College,Professional,No,3,6,North America,45,No
28557,Married,Male,40000,,Bachelors,Skilled Manual,Yes,1,5,Europe,32,Yes
24032,Married,Male,10000,2,High School,Manual,Yes,0,5,Europe,37,Yes
22218,Married,Male,60000,0,High School,Professional,No,2,2,North America,49,Yes
11288,Married,Female,110000,3,Bachelors,Management,Yes,3,3,North America,45,No
11293,Single,Male,60000,0,High School,Professional,No,2,4,North America,51,No
11410,Married,Male,20000,1,Partial College,Manual,Yes,0,1,Europe,38,Yes
25945,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5,Pacific,54,Yes
29444,Married,Female,20000,0,Bachelors,Clerical,Yes,0,6,Europe,50,No
18237,Married,Female,80000,0,Graduate Degree,Professional,Yes,0,7,North America,48,Yes
11414,Single,Male,80000,2,Partial College,Professional,Yes,1,8,Europe,52,Yes
11300,Married,Male,80000,4,Partial College,Professional,No,3,1,North America,46,No
26438,Married,Female,130000,5,High School,Management,Yes,4,2,Pacific,33,Yes
28208,Single,Female,90000,0,Bachelors,Professional,Yes,0,1,Pacific,36,Yes
19995,Married,Female,70000,2,Bachelors,Skilled Manual,Yes,0,5,North America,38,Yes
11301,Married,Male,80000,4,Partial College,Professional,Yes,4,1,North America,46,No
11304,Married,Female,100000,3,Partial College,Professional,Yes,0,1,North America,46,No
21487,Single,Female,70000,1,Partial College,Professional,Yes,2,1,North America,57,Yes
11305,Married,Male,110000,3,Partial College,Professional,No,4,1,North America,46,No
29287,Married,Female,60000,4,Bachelors,Professional,Yes,1,10,Pacific,42,No
20626,,Male,100000,5,High School,Management,Yes,4,11,Pacific,35,Yes
13355,Married,,70000,0,Bachelors,Management,Yes,2,5,North America,62,Yes
26604,Single,Female,70000,0,Bachelors,Professional,No,1,6,North America,38,Yes
11308,Married,Male,60000,0,High School,Professional,No,2,7,North America,52,No
11309,Single,Female,60000,0,High School,Professional,Yes,2,1,North America,52,No
11310,Single,Female,70000,0,Graduate Degree,Management,Yes,2,2,North America,53,No
11311,Single,Female,70000,0,Graduate Degree,Management,No,2,4,North America,53,No
11312,Single,Female,70000,0,Graduate Degree,Management,Yes,2,1,North America,53,No
25714,Single,Male,20000,0,Bachelors,Clerical,Yes,0,1,Pacific,28,Yes
20160,Single,Male,20000,0,Bachelors,Clerical,Yes,0,5,Pacific,28,Yes
22515,Single,Female,20000,4,High School,Manual,Yes,2,1,Europe,27,Yes
25430,Married,Female,80000,,Graduate Degree,Professional,Yes,0,1,North America,37,Yes
11313,Single,,70000,0,Graduate Degree,Management,Yes,2,1,North America,53,No
11314,Single,Female,70000,0,Graduate Degree,Management,No,2,1,North America,52,No
11315,Single,Female,70000,0,Graduate Degree,Management,No,2,5,North America,53,No
11318,Single,Female,40000,0,Partial College,Professional,No,2,1,North America,54,No
11320,,Female,80000,0,Graduate Degree,Management,Yes,2,1,North America,69,No
20648,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,1,North America,33,Yes
11321,Married,Male,90000,0,Bachelors,Management,Yes,2,1,North America,68,No
11322,Married,Female,90000,0,Bachelors,Management,Yes,2,10,North America,68,No
11330,Married,Male,110000,4,Graduate Degree,Management,Yes,1,11,North America,66,No
20996,Single,Male,20000,0,Bachelors,Clerical,Yes,0,5,Pacific,27,Yes
27181,Single,Male,40000,2,Partial College,Clerical,Yes,0,6,Europe,36,Yes
15130,Single,Male,90000,0,Bachelors,Professional,No,3,7,Pacific,33,Yes
23492,Single,Male,110000,3,Partial College,Professional,Yes,4,1,North America,45,Yes
27448,Single,,40000,0,Bachelors,Professional,Yes,1,2,North America,41,Yes
11331,Married,Female,90000,4,Partial College,Skilled Manual,Yes,2,4,North America,38,No
11342,Married,Male,30000,0,Graduate Degree,Clerical,Yes,0,1,Europe,44,No
19110,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,1,North America,34,Yes
13970,,Male,70000,0,Bachelors,Professional,No,1,5,Pacific,38,Yes
11347,Married,Male,10000,0,Partial College,Manual,Yes,1,1,Europe,50,No
11348,Married,Male,10000,0,Partial College,Manual,Yes,1,1,Europe,51,No
11349,Married,Female,10000,0,Partial College,Manual,Yes,1,1,Europe,52,No
11350,Married,Female,30000,0,Graduate Degree,Clerical,Yes,0,6,Europe,69,No
11352,Married,Male,10000,0,Partial College,Manual,Yes,1,4,Europe,66,No
25760,Married,Female,30000,0,Bachelors,Clerical,Yes,0,2,Europe,37,Yes
11354,Married,Female,20000,0,Partial College,Manual,Yes,0,3,Europe,64,No
15663,Married,Female,30000,0,Bachelors,Clerical,Yes,0,7,Europe,47,Yes
11355,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,8,Europe,63,No
11361,Married,Female,10000,0,High School,Manual,Yes,2,9,Pacific,29,No
11362,Married,Male,10000,0,High School,Manual,No,2,1,Pacific,29,No
25589,Single,Female,30000,0,Bachelors,Clerical,Yes,0,1,Europe,47,Yes
11451,Single,Male,70000,0,Bachelors,Professional,No,4,1,Pacific,32,Yes
17670,Married,Female,30000,,High School,Skilled Manual,Yes,2,1,North America,50,Yes
29293,Single,,90000,3,Bachelors,Professional,Yes,0,10,Pacific,39,Yes
25744,Married,Male,30000,0,Bachelors,Clerical,Yes,0,,Europe,36,Yes
11366,Married,Female,20000,0,Bachelors,Clerical,Yes,0,5,Pacific,27,No
26638,Single,Female,70000,0,Graduate Degree,Professional,No,1,6,North America,47,Yes
13811,Single,Female,30000,2,Partial College,Clerical,Yes,2,7,Europe,43,Yes
21161,Married,Female,60000,0,Bachelors,Professional,Yes,1,1,North America,48,Yes
11459,Single,Female,80000,0,Bachelors,Professional,No,3,2,Pacific,34,Yes
23984,Single,Female,10000,0,Partial College,Manual,No,1,4,Europe,52,Yes
11367,Married,Male,20000,0,Bachelors,Clerical,Yes,0,1,Pacific,27,No
18557,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,13,North America,35,Yes
11369,Married,Female,20000,0,Bachelors,Clerical,No,0,1,Pacific,28,No
11370,Married,Female,20000,0,Bachelors,Clerical,Yes,0,5,Pacific,28,No
